FIPS,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE_MALE,WHITE_FEMALE,BLACK_MALE,BLACK_FEMALE,INDIAN_MALE,INDIAN_FEMALE,ASIAN_MALE,ASIAN_FEMALE,NATIVE_MALE,NATIVE_FEMALE,TWO_OR_MORE_MALE,TWO_OR_MORE_FEMALE,WHITE_COMBINATION_MALE,WHITE_COMBINATION_FEMALE,BLACK_COMBINATION_MALE,BLACK_COMBINATION_FEMALE,INDIAN_COMBINATION_MALE,INDIAN_COMBINATION_FEMALE,ASIAN_COMBINATION_MALE,ASIAN_COMBINATION_FEMALE,NATIVE_COMBINATION_MALE,NATIVE_COMBINATION_FEMALE,HISPANIC_MALE,HISPANIC_FEMALE
26081,2020,40-44,40164,20138,20026,16891,16325,1957,2191,230,159,676,914,10,24,374,413,17233,16702,2142,2422,378,337,782,1011,25,43,2504,2263
26081,2020,45-49,37196,18694,18502,15453,15015,1873,1982,158,201,843,957,25,22,342,325,15757,15307,2017,2144,312,356,943,1039,49,34,2136,2154
26081,2020,50-54,38712,19354,19358,16504,16248,1835,1983,117,151,670,702,18,11,210,263,16684,16482,1926,2103,224,292,726,765,31,22,1817,1652
26081,2020,55-59,41267,20502,20765,17832,18012,1840,1860,122,109,513,511,13,10,182,263,17990,18241,1906,1976,226,270,563,570,24,21,1396,1285
26081,2020,60-64,39469,19352,20117,17240,17743,1533,1738,84,87,315,350,18,16,162,183,17382,17898,1592,1816,188,204,355,385,25,27,1019,955
26081,2020,65-69,32769,15787,16982,14317,15071,1052,1354,59,55,221,355,11,9,127,138,14430,15189,1092,1415,139,147,258,378,17,13,719,658
26081,2020,70-74,23923,11101,12822,10087,11493,655,868,33,48,240,304,9,4,77,105,10156,11583,680,909,82,120,257,323,15,11,412,510
26081,2020,75-79,15295,6773,8522,6171,7704,383,533,23,19,160,209,2,3,34,54,6203,7750,393,555,49,55,167,223,2,10,209,352
26081,2020,80-84,9937,4196,5741,3868,5213,207,371,4,16,105,110,1,1,11,30,3878,5238,211,381,13,40,107,115,2,1,119,175
26081,2020,85+,10394,3768,6626,3546,6173,145,323,1,6,55,86,5,4,16,34,3560,6202,150,339,12,30,58,94,7,7,99,165
26081,2021,20-24,44272,21922,22350,16783,17184,2989,2935,198,228,821,903,28,14,1103,1086,17828,18225,3769,3703,460,494,1032,1105,53,45,3475,3427
26081,2021,25-29,52251,26411,25840,20993,20703,3300,3005,250,204,961,963,17,20,890,945,21829,21592,3873,3635,490,476,1155,1142,53,54,3312,3030
26081,2021,30-34,51632,25990,25642,21004,20980,3043,2712,185,188,1027,1065,31,14,700,683,21663,21618,3457,3141,418,412,1201,1205,56,36,2878,2819
26081,2021,35-39,46377,23298,23079,19374,19064,2311,2281,203,160,940,1022,18,18,452,534,19790,19552,2557,2602,364,359,1071,1142,44,34,2591,2352
26081,2021,40-44,41362,20837,20525,17463,16823,2034,2191,252,160,685,910,11,23,392,418,17823,17208,2227,2421,406,338,802,1009,26,45,2547,2235
26081,2021,45-49,36096,18101,17995,14930,14509,1817,1939,163,185,821,997,23,27,347,338,15243,14804,1967,2110,319,344,927,1081,38,39,2131,2178
26081,2021,50-54,38698,19420,19278,16467,16106,1849,1993,129,161,725,731,19,10,231,277,16665,16349,1952,2124,249,310,790,800,31,18,1894,1729
26081,2021,55-59,39967,19836,20131,17133,17370,1858,1853,123,110,523,553,12,8,187,237,17298,17571,1929,1959,230,253,574,607,24,21,1461,1342
26081,2021,60-64,39646,19413,20233,17255,17804,1538,1754,84,86,354,370,18,17,164,202,17396,17972,1598,1845,175,214,401,407,26,27,1068,1013
26081,2021,65-69,33682,16212,17470,14688,15507,1097,1402,60,63,218,347,13,9,136,142,14805,15624,1139,1463,148,160,258,375,20,14,759,699
26081,2021,70-74,25602,11900,13702,10861,12287,675,936,36,45,241,321,10,6,77,107,10923,12380,704,981,88,114,261,339,14,10,460,540
26081,2021,75-79,15655,6942,8713,6312,7858,397,554,25,20,170,216,1,3,37,62,6345,7912,408,577,49,60,178,229,3,9,225,373
26081,2021,80-84,10194,4292,5902,3942,5359,213,367,6,19,114,125,2,1,15,31,3955,5386,220,382,17,44,116,129,4,1,118,204
26081,2021,85+,10117,3660,6457,3442,5994,141,313,1,8,57,97,5,4,14,41,3454,6027,146,331,9,36,62,107,9,7,104,155
26081,2022,20-24,43957,21713,22244,16548,16964,2929,2977,191,235,858,947,35,17,1152,1104,17640,18018,3742,3758,458,501,1078,1152,66,44,3581,3621
26081,2022,25-29,51620,25946,25674,20664,20483,3207,2955,275,237,906,981,13,16,881,1002,21504,21431,3776,3636,499,520,1098,1158,46,44,3384,3098
26081,2022,30-34,52456,26423,26033,21131,21095,3254,2861,180,184,1061,1122,31,15,766,756,21846,21799,3708,3339,429,436,1249,1279,59,39,2933,2858
26081,2022,35-39,46662,23452,23210,19500,19165,2305,2266,202,160,968,1073,17,16,460,530,19925,19653,2561,2589,358,346,1094,1196,35,33,2577,2404
26081,2022,40-44,42524,21440,21084,17896,17294,2126,2202,240,160,759,934,11,21,408,473,18272,17733,2324,2464,399,357,884,1049,35,45,2537,2199
26081,2022,45-49,36080,18053,18027,14969,14527,1762,1948,168,164,784,1014,21,29,349,345,15286,14839,1915,2125,317,326,891,1095,43,45,2168,2187
26081,2022,50-54,38230,19203,19027,16126,15775,1889,1982,138,169,794,796,18,13,238,292,16338,16030,1994,2117,252,317,862,872,33,26,1904,1835
26081,2022,55-59,38527,19155,19372,16496,16602,1815,1857,103,112,538,576,13,8,190,217,16662,16791,1887,1957,215,239,586,620,24,16,1543,1371
26081,2022,60-64,39334,19302,20032,17067,17575,1583,1748,82,87,389,397,16,12,165,213,17209,17753,1645,1848,177,220,438,439,23,21,1129,1052
26081,2022,65-69,34441,16486,17955,14899,15911,1140,1481,62,63,234,350,15,9,136,141,15018,16034,1184,1543,150,158,272,381,20,14,790,725
26081,2022,70-74,26148,12207,13941,11124,12464,708,976,37,43,246,346,9,7,83,105,11199,12556,735,1018,87,108,268,369,15,14,499,546
26081,2022,75-79,17312,7758,9554,7085,8619,425,601,26,27,178,227,3,3,41,77,7120,8686,441,634,51,80,187,243,8,6,254,399
26081,2022,80-84,10577,4476,6101,4083,5531,235,371,8,20,125,144,2,1,23,34,4101,5562,244,387,24,44,133,150,4,2,122,227
26081,2022,85+,10060,3666,6394,3443,5919,143,315,2,14,57,102,5,4,16,40,3456,5952,148,332,13,42,61,110,9,7,102,166
26081,2023,20-24,44343,21859,22484,16597,17000,2920,3037,193,243,926,1058,39,14,1184,1132,17727,18085,3757,3840,462,502,1155,1272,67,47,3739,3742
26081,2023,25-29,51442,25867,25575,20386,20247,3241,2979,275,237,927,991,11,10,1027,1111,21367,21305,3919,3735,538,544,1155,1195,53,39,3489,3239
26081,2023,30-34,52973,26724,26249,21218,20999,3399,3034,195,188,1067,1186,27,22,818,820,21981,21768,3894,3557,459,443,1255,1358,57,47,3036,2926
26081,2023,35-39,47720,23951,23769,19728,19559,2507,2341,198,163,986,1144,17,14,515,548,20208,20066,2793,2674,367,351,1130,1277,36,36,2617,2510
26081,2023,40-44,43708,22029,21679,18305,17785,2217,2240,226,164,829,981,15,21,437,488,18705,18236,2439,2512,391,364,957,1103,32,49,2546,2232
26081,2023,45-49,36685,18269,18416,15226,14885,1773,1994,182,156,729,1004,19,23,340,354,15530,15201,1928,2181,328,318,825,1091,37,37,2230,2130
26081,2023,50-54,37523,18811,18712,15650,15372,1884,2001,163,176,830,860,17,14,267,289,15889,15627,2002,2142,291,322,907,937,29,30,1938,1971
26081,2023,55-59,37522,18658,18864,16006,15977,1744,1918,89,130,612,603,15,8,192,228,16179,16171,1820,2027,199,251,672,656,27,19,1596,1462
26081,2023,60-64,39103,19176,19927,16852,17437,1651,1744,93,92,406,412,14,11,160,231,16994,17629,1709,1846,178,236,450,462,23,20,1203,1090
26081,2023,65-69,35111,16812,18299,15172,16199,1184,1546,59,62,250,347,16,11,131,134,15287,16315,1225,1610,147,148,288,373,26,15,817,747
26081,2023,70-74,27293,12852,14441,11702,12883,745,1029,41,43,255,369,10,9,99,108,11788,12977,779,1069,102,113,282,391,16,17,545,555
26081,2023,75-79,18330,8222,10108,7522,9109,444,645,23,35,182,232,4,3,47,84,7561,9182,457,679,53,93,197,252,7,9,282,436
26081,2023,80-84,11219,4753,6466,4336,5860,245,385,10,17,133,166,2,1,27,37,4358,5891,256,399,28,50,139,170,4,2,136,245
26081,2023,85+,10240,3807,6433,3561,5941,158,327,2,19,64,102,6,4,16,40,3574,5974,165,344,12,44,67,110,7,7,106,174
26081,2024,20-24,44682,22001,22681,16555,16937,3029,3121,204,258,994,1176,37,11,1182,1178,17678,18063,3865,3963,465,515,1229,1398,76,41,3872,3907
26081,2024,25-29,51809,25982,25827,20256,20265,3284,3083,270,241,1029,1042,14,14,1129,1182,21333,21389,4031,3890,556,550,1275,1254,57,43,3693,3449
26081,2024,30-34,53530,27077,26453,21444,20918,3440,3205,214,205,1059,1224,22,17,898,884,22290,21743,3988,3769,501,480,1258,1402,56,47,3240,3013
26081,2024,35-39,49240,24762,24478,20133,19955,2784,2498,174,175,1074,1251,21,11,576,588,20670,20504,3101,2858,355,372,1233,1383,45,34,2694,2640
26081,2024,40-44,44678,22507,22171,18621,18153,2351,2300,213,173,880,1041,16,21,426,483,19014,18600,2564,2569,371,367,1012,1155,39,41,2589,2258
26081,2024,45-49,37853,18824,19029,15749,15347,1782,2128,201,146,732,992,14,25,346,391,16063,15703,1939,2336,343,318,839,1083,26,39,2327,2176
26081,2024,50-54,36679,18373,18306,15158,14898,1871,2001,166,180,855,926,21,17,302,284,15427,15155,2009,2141,305,313,944,996,42,30,1968,2045
26081,2024,55-59,36952,18370,18582,15680,15614,1698,1933,90,148,693,639,15,11,194,237,15850,15825,1773,2041,198,276,746,689,29,24,1659,1561
26081,2024,60-64,38983,19087,19896,16708,17328,1665,1773,94,94,442,454,13,11,165,236,16852,17521,1729,1884,185,242,486,502,23,18,1238,1148
26081,2024,65-69,35570,17062,18508,15367,16356,1225,1597,55,70,276,337,17,12,122,136,15476,16475,1260,1661,131,158,314,368,20,16,871,798
26081,2024,70-74,28615,13522,15093,12268,13425,816,1122,45,47,266,370,10,9,117,120,12371,13526,860,1171,116,128,297,395,16,15,592,576
26081,2024,75-79,19635,8850,10785,8111,9707,467,678,21,39,190,264,6,3,55,94,8161,9790,484,715,56,103,204,282,7,8,309,451
26081,2024,80-84,11749,4997,6752,4581,6118,244,400,13,13,131,183,2,2,26,36,4605,6146,253,420,30,42,139,185,5,4,155,269
26081,2024,85+,10422,3949,6473,3680,5936,168,352,2,20,77,114,6,3,16,48,3693,5976,174,375,12,53,82,123,9,8,103,184
26083,2020,20-24,75,38,37,37,36,1,1,0,0,0,0,0,0,0,0,37,36,1,1,0,0,0,0,0,0,0,0
26083,2020,25-29,85,43,42,40,40,0,2,0,0,0,0,0,0,3,0,43,40,2,2,0,0,1,0,0,0,0,1
26083,2020,30-34,70,39,31,38,30,0,0,0,0,0,0,0,0,1,1,39,31,1,0,0,1,0,0,0,0,2,1
26083,2020,35-39,77,36,41,36,37,0,1,0,0,0,0,0,0,0,3,36,40,0,3,0,1,0,0,0,0,0,1
26083,2020,40-44,87,50,37,47,36,0,0,3,0,0,0,0,0,0,1,47,36,0,1,3,1,0,0,0,0,1,1
26083,2020,45-49,103,51,52,50,48,0,0,0,0,0,0,0,0,1,4,51,51,0,1,1,4,0,0,0,0,1,0
26083,2020,50-54,100,47,53,47,52,0,0,0,0,0,1,0,0,0,0,47,52,0,0,0,0,0,1,0,0,0,1
26083,2020,55-59,164,83,81,83,79,0,0,0,1,0,0,0,0,0,1,83,80,0,0,0,2,0,0,0,0,1,0
26083,2020,60-64,190,94,96,93,94,0,0,0,0,0,0,0,0,1,2,94,95,0,0,1,2,0,0,0,1,0,1
26083,2020,65-69,224,103,121,103,119,0,0,0,1,0,0,0,0,0,1,103,120,0,0,0,2,0,0,0,0,0,2
26083,2020,70-74,231,136,95,134,93,0,0,1,0,0,0,0,0,1,2,135,95,0,1,2,2,0,0,0,0,0,1
26083,2020,75-79,159,92,67,91,67,0,0,1,0,0,0,0,0,0,0,91,67,0,0,1,0,0,0,0,0,1,1
26083,2020,80-84,83,44,39,44,39,0,0,0,0,0,0,0,0,0,0,44,39,0,0,0,0,0,0,0,0,0,1
26083,2020,85+,54,19,35,19,34,0,0,0,0,0,1,0,0,0,0,19,34,0,0,0,0,0,1,0,0,0,0
26083,2021,20-24,82,36,46,36,45,0,0,0,0,0,0,0,0,0,1,36,46,0,0,0,1,0,0,0,0,0,0
26083,2021,25-29,84,49,35,45,34,1,1,0,0,0,0,0,0,3,0,47,34,2,1,2,0,1,0,0,0,0,0
26083,2021,30-34,84,44,40,43,38,0,1,0,0,0,0,0,0,1,1,44,39,0,2,1,0,0,0,0,0,2,2
26083,2021,35-39,87,43,44,43,40,0,1,0,0,0,0,0,0,0,3,43,43,0,3,0,1,0,0,0,0,0,1
26083,2021,40-44,86,51,35,49,33,0,0,2,0,0,0,0,0,0,2,49,35,0,0,2,1,0,2,0,1,1,1
26083,2021,45-49,113,51,62,49,57,0,0,1,0,0,0,0,0,1,5,50,62,0,2,1,2,1,1,0,0,1,0
26083,2021,50-54,105,53,52,53,50,0,0,0,0,0,1,0,0,0,1,53,51,0,0,0,0,0,2,0,0,2,1
26083,2021,55-59,148,72,76,72,74,0,0,0,1,0,0,0,0,0,1,72,75,0,0,0,2,0,0,0,0,1,0
26083,2021,60-64,187,90,97,89,95,0,0,0,0,0,0,0,0,1,2,90,96,0,1,1,1,0,1,0,0,0,1
26083,2021,65-69,212,101,111,101,110,0,0,0,1,0,0,0,0,0,0,101,110,0,0,0,1,0,0,0,0,0,1
26083,2021,70-74,244,132,112,130,109,0,0,1,0,0,0,0,0,1,3,131,112,0,2,2,2,0,0,0,0,0,2
