year,election,county,raw_votes_D,raw_votes_R,d_candidate,r_candidate
2016,president,Yolo,"54,752","20,739",Hillary Clinton,Donald J. Trump
2016,president,Yuba,"7,910","13,170",Hillary Clinton,Donald J. Trump
2016,president,State Totals,"8,753,788","4,483,810",Hillary Clinton,Donald J. Trump
2018,governor,Alameda,"462,558","111,677",Gavin Newsom,John H. Cox
2018,governor,Alpine,386,229,Gavin Newsom,John H. Cox
2018,governor,Amador,"6,237","11,356",Gavin Newsom,John H. Cox
2018,governor,Butte,"41,500","47,226",Gavin Newsom,John H. Cox
2018,governor,Calaveras,"7,765","13,845",Gavin Newsom,John H. Cox
2018,governor,Colusa,"1,999","3,764",Gavin Newsom,John H. Cox
2018,governor,Contra Costa,"283,805","132,345",Gavin Newsom,John H. Cox
2018,governor,Del Norte,"3,441","4,887",Gavin Newsom,John H. Cox
2018,governor,El Dorado,"36,297","53,140",Gavin Newsom,John H. Cox
2018,governor,Fresno,"124,332","128,974",Gavin Newsom,John H. Cox
2018,governor,Glenn,"2,424","5,908",Gavin Newsom,John H. Cox
2018,governor,Humboldt,"33,455","18,418",Gavin Newsom,John H. Cox
2018,governor,Imperial,"20,573","12,785",Gavin Newsom,John H. Cox
2018,governor,Inyo,"3,244","4,018",Gavin Newsom,John H. Cox
2018,governor,Kern,"83,507","119,870",Gavin Newsom,John H. Cox
2018,governor,Kings,"12,275","17,976",Gavin Newsom,John H. Cox
2018,governor,Lake,"10,869","10,280",Gavin Newsom,John H. Cox
2018,governor,Lassen,"2,043","6,973",Gavin Newsom,John H. Cox
2018,governor,Los Angeles,"2,114,699","826,402",Gavin Newsom,John H. Cox
2018,governor,Madera,"15,037","23,488",Gavin Newsom,John H. Cox
2018,governor,Marin,"103,671","26,750",Gavin Newsom,John H. Cox
2018,governor,Mariposa,"3,183","5,043",Gavin Newsom,John H. Cox
2018,governor,Mendocino,"22,152","11,255",Gavin Newsom,John H. Cox
2018,governor,Merced,"30,783","28,424",Gavin Newsom,John H. Cox
2018,governor,Modoc,820,"2,628",Gavin Newsom,John H. Cox
2018,governor,Mono,"2,706","2,147",Gavin Newsom,John H. Cox
2018,governor,Monterey,"76,648","39,516",Gavin Newsom,John H. Cox
2018,governor,Napa,"36,513","19,834",Gavin Newsom,John H. Cox
2018,governor,Nevada,"27,985","24,882",Gavin Newsom,John H. Cox
2018,governor,Orange,"543,047","539,951",Gavin Newsom,John H. Cox
2018,governor,Placer,"72,270","103,157",Gavin Newsom,John H. Cox
2018,governor,Plumas,"3,433","5,807",Gavin Newsom,John H. Cox
2018,governor,Riverside,"319,845","322,243",Gavin Newsom,John H. Cox
2018,governor,Sacramento,"302,696","212,010",Gavin Newsom,John H. Cox
2018,governor,San Benito,"11,274","8,815",Gavin Newsom,John H. Cox
2018,governor,San Bernardino,"276,874","260,379",Gavin Newsom,John H. Cox
2018,governor,San Diego,"658,346","499,532",Gavin Newsom,John H. Cox
2018,governor,San Francisco,"312,181","49,181",Gavin Newsom,John H. Cox
2018,governor,San Joaquin,"101,474","92,966",Gavin Newsom,John H. Cox
2018,governor,San Luis Obispo,"65,117","61,137",Gavin Newsom,John H. Cox
