year,election,county,raw_votes_D,raw_votes_R,d_candidate,r_candidate
2024,senate,Lassen,"2,439","8,691",Adam B. Schiff,Steve Garvey
2024,senate,Los Angeles,"2,335,222","1,220,750",Adam B. Schiff,Steve Garvey
2024,senate,Madera,"20,538","32,451",Adam B. Schiff,Steve Garvey
2024,senate,Marin,"112,842","28,490",Adam B. Schiff,Steve Garvey
2024,senate,Mariposa,"3,582","5,747",Adam B. Schiff,Steve Garvey
2024,senate,Mendocino,"24,106","14,182",Adam B. Schiff,Steve Garvey
2024,senate,Merced,"40,394","43,320",Adam B. Schiff,Steve Garvey
2024,senate,Modoc,978,"2,951",Adam B. Schiff,Steve Garvey
2024,senate,Mono,"3,384","2,503",Adam B. Schiff,Steve Garvey
2024,senate,Monterey,"92,302","51,913",Adam B. Schiff,Steve Garvey
2024,senate,Napa,"42,245","21,986",Adam B. Schiff,Steve Garvey
2024,senate,Nevada,"33,363","27,987",Adam B. Schiff,Steve Garvey
2024,senate,Orange,"674,882","688,967",Adam B. Schiff,Steve Garvey
2024,senate,Placer,"98,198","129,981",Adam B. Schiff,Steve Garvey
2024,senate,Plumas,"3,921","6,034",Adam B. Schiff,Steve Garvey
2024,senate,Riverside,"443,181","474,241",Adam B. Schiff,Steve Garvey
2024,senate,Sacramento,"375,265","263,954",Adam B. Schiff,Steve Garvey
2024,senate,San Benito,"14,991","12,031",Adam B. Schiff,Steve Garvey
2024,senate,San Bernardino,"355,667","384,091",Adam B. Schiff,Steve Garvey
2024,senate,San Diego,"817,805","625,129",Adam B. Schiff,Steve Garvey
2024,senate,San Francisco,"310,932","66,421",Adam B. Schiff,Steve Garvey
2024,senate,San Joaquin,"127,205","129,064",Adam B. Schiff,Steve Garvey
2024,senate,San Luis Obispo,"77,525","68,569",Adam B. Schiff,Steve Garvey
2024,senate,San Mateo,"237,186","84,474",Adam B. Schiff,Steve Garvey
2024,senate,Santa Barbara,"110,609","70,126",Adam B. Schiff,Steve Garvey
2024,senate,Santa Clara,"498,785","224,597",Adam B. Schiff,Steve Garvey
2024,senate,Santa Cruz,"98,631","30,737",Adam B. Schiff,Steve Garvey
2024,senate,Shasta,"25,996","61,402",Adam B. Schiff,Steve Garvey
2024,senate,Sierra,617,"1,110",Adam B. Schiff,Steve Garvey
2024,senate,Siskiyou,"8,087","12,958",Adam B. Schiff,Steve Garvey
2024,senate,Solano,"113,204","72,404",Adam B. Schiff,Steve Garvey
2024,senate,Sonoma,"176,477","68,712",Adam B. Schiff,Steve Garvey
2024,senate,Stanislaus,"86,040","106,444",Adam B. Schiff,Steve Garvey
2024,senate,Sutter,"12,984","25,129",Adam B. Schiff,Steve Garvey
2024,senate,Tehama,"7,098","18,632",Adam B. Schiff,Steve Garvey
2024,senate,Trinity,"2,413","3,148",Adam B. Schiff,Steve Garvey
2024,senate,Tulare,"51,972","83,439",Adam B. Schiff,Steve Garvey
2024,senate,Tuolumne,"10,479","17,372",Adam B. Schiff,Steve Garvey
2024,senate,Ventura,"211,381","169,660",Adam B. Schiff,Steve Garvey
2024,senate,Yolo,"61,084","29,758",Adam B. Schiff,Steve Garvey
2024,senate,Yuba,"10,501","18,711",Adam B. Schiff,Steve Garvey
